Participants,PS Overall Data,PS Night Data
16ky11oz,100.29138805555537,14.991937222222209
1inrrtl3,4.235817499999982,0.8839136111111071
1o52ntll,24.483201944444414,3.011306111111102
1rroql96,30.935660277777778,4.253370833333342
23pupbua,151.3046586111108,31.482717222222274
2agrmb9j,121.10103027777768,6.390625833333318
2ys1mtz4,30.371333888888927,2.664068888888883
5fnn617w,85.28914805555556,10.775980555555531
5s94kli5,0.0008680555555555555,0.0
5y1tpee8,41.71537944444445,8.19481027777778
7jjv4pei,203.8065138888889,35.25258361111108
7l4pv8bf,38.4099308333334,3.8395005555555786
9d7ophe4,16.29860722222221,3.353106111111101
bjix62jd,73.92789805555559,0.359485277777781
bqu752bx,19.232688055555567,1.5948158333333529
c5qbpnue,4.1472794444444565,2.5451158333333455
cex9tpjq,1.268733333333335,0.6614786111111123
cjhvlipu,12.737730555555554,1.3876158333333235
d225geil,0.015090555555555813,0.0
d2mtvihs,11.074223333333327,0.8051808333333246
d7gcjmit,94.0673247222223,10.455483055555582
e58idwax,4.558953055555549,0.29626444444444333
fu2ofh8b,1.965609999999993,0.0
fwowc4r9,55.171198055555514,10.82119222222223
hlbtqh2l,0.14982083333332616,0.0
hoeftdw5,119.33352749999975,22.08420666666671
jvyctuat,8.418615555555565,1.3178180555555645
k66z4nfv,0.9637225000000004,0.06415222222221928
kzes28mw,47.631581388888854,0.5527008333333427
l4lycy4a,138.16681055555583,28.86130138888888
l7tsmmge,31.549121388888896,4.107216666666695
lpg9axpp,166.01343166666746,23.96661027777773
lx3vdgbn,21.594287222222214,6.094756944444457
mguewihd,15.046982500000016,1.3653944444444464
nb2gakhp,12.950215277777797,2.2040322222222324
ry9whk1i,152.18341638888944,24.1278894444445
t5bzr5u8,0.759961666666664,0.0
uynoyz3s,11.849959999999975,2.691859999999991
vawn7ykh,49.8569141666667,5.135450833333344
w4h8wmub,25.173929444444408,4.212175277777786
