long_night,lat_night,alt_night
1.3118307524287868e-05,1.756627602258923e-05,2.2478581302203864
7.911173375508497e-06,8.194539024612727e-06,3.17234431888729
7.088464501627384e-06,6.413253008404894e-06,1.3500975794918255
2.329671482812768e-05,1.5670277190818175e-05,2.0371484349268725
2.9129340336651448e-05,4.1126025047248684e-05,5.3873973474214925
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
9.334187074634752e-06,1.3805129551177307e-05,2.019216888439322
0.0,0.0,0.0
0.0,0.0,0.0
5.025329849161733e-05,0.00010593880722215465,4.3426017250009075
0.0,0.0,0.0
0.0,0.0,0.0
9.529766076465509e-07,6.874994895708866e-07,0.1640292971992813
9.428526724591081e-06,9.073234207378517e-06,4.671215657738261
0.0,0.0,0.0
2.1818966123021856e-07,2.7212829252756625e-07,0.01853908394519901
7.533832760637697e-05,5.0634431090794135e-05,14.154172582029844
0.0,0.0,0.0
3.9104298476138476e-06,1.6208731832440248e-05,0.7249545643525982
5.327295240663483e-09,2.923679796850694e-09,0.0
6.262711362619334e-11,8.858410261328671e-11,3.8002714535040565e-05
4.920917820672053e-05,1.943115882828076e-05,2.8834673969092446
8.051246330924311e-06,1.0642014775819214e-05,1.7402116286125244
1.2175948825885917e-05,1.8114378581440878e-05,9.550432057197744
1.545925648568877e-05,1.045090852953536e-05,3.434109186253974
1.2021419444660387e-07,8.426118028355064e-07,0.001722592046819123
9.919194919183563e-06,1.194193037392895e-05,2.287547977075489
0.0,0.0,0.0
3.99467453807028e-09,1.46578931573366e-09,0.0
9.441456634258514e-07,1.4529121453560384e-06,0.25238049500052423
5.45321666532514e-06,5.9770902831214064e-06,1.151953952748045
