PARTICIPANTS,longitudeSD,latitudeSD,altitudeSD

16ky11oz,2.199512685193977,0.6220017187407072,3055.525197676428

1inrrtl3,0.10835977029503532,0.075046969061032,22506.759977387122

1o52ntll,2.5201364487602205,0.6837106937246515,2320.6085287958613

1rroql96,2.227136789096466,0.6205842554622847,8627.333265359719

23pupbua,1.9681467759237632,0.4991404037792163,13356.226271061638

2agrmb9j,0.021112186183720093,0.03768459017885349,2390.564014436972

2ys1mtz4,0.0054849315362151185,0.0036892783792731114,222.80091884862188

5fnn617w,0.4296249117334626,0.17098061107246837,12771.9364915587

5y1tpee8,1.3352617002924363,0.3649925016607174,8750.801877358288

7jjv4pei,0.0014597323669275008,0.0013907930369043927,169.7992812286546

7l4pv8bf,0.0001426386540351076,3.945211648559194e-05,6.446303744465074e-05

9d7ophe4,0.304334093953714,0.27867801778439233,8825.753168073448

bjix62jd,0.11707218953806614,0.17676487725793877,7696.324196671651

bqu752bx,0.000901868603142981,0.0036784754501230648,332.33631026829806

d2mtvihs,0.1572857870317813,0.04705412747943982,845.9308603622774

d7gcjmit,4.733188407148434,1.2885613394631485,16693.871934840565

fu2ofh8b,0.1928878809672281,0.36929063550939706,1104.2027929397784

fwowc4r9,0.0010345370759777056,0.00027979783952140794,0.8682722226491566

hoeftdw5,1.7049247442568303,0.4698560307313267,18457.072958578134

jvyctuat,0.056580423658951585,0.05144984933057505,18419.025887719938

k66z4nfv,0.02907973241114122,0.0028570142391336523,874.9811206977683

kzes28mw,0.005870261884658344,0.0015885910368215032,0.9993229328304193

l4lycy4a,0.39174197424577245,0.4322718159930043,5727.36150366163

l7tsmmge,2.3122226785084496,0.65692515807786,56425.91322531315

lpg9axpp,1.1994999414349625,0.32547856751501847,5622.95130085021

lx3vdgbn,0.04817120312457866,0.021025463788331675,8244.655592668782

mguewihd,0.20789037607490468,0.08313467816766947,9247.683988304112

nb2gakhp,0.0008642900264136027,0.00023739724593139182,12.920626015996106

ry9whk1i,2.0719492714992396,0.5644466055892391,4380.779471956905

t5bzr5u8,0.0030475282984707853,0.0016636062612282395,485.42119480117736

uynoyz3s,0.8371283466305486,0.6918127540583212,24632.48025296108

vawn7ykh,0.02501295017503822,0.034630387255095076,2074.8714869410414

w4h8wmub,0.05172136572680294,0.01529240695029587,1042.270504136469

