longitudeSD,latitudeSD,altitudeSD
3.2382237784892805e-05,7.616968428903704e-05,11.362611014282312
2.9155651099227693e-05,4.803516488876855e-05,6.897027724910023
4.120149560309283e-05,9.117316955068177e-05,9.234283088304911
8.446494835087634e-05,0.0003139437320183125,4.271416242812288
5.340399680733958e-05,8.440549077575809e-05,4.271416242812288
0.0001382832170889902,5.1437089336746255e-05,19.102786591373405
3.665020739599613e-05,5.3529968739971225e-05,10.960223130303117
7.79551566923428e-05,7.249408048910217e-05,8.831871542547038
4.944682254297429e-05,4.032072134571327e-05,31.38462048962179
2.87960279901571e-05,4.322148536584416e-05,4.685024811026634
8.79478770878656e-05,6.048161287698205e-05,5.158236595037191
4.370713472598291e-05,0.00010024131346509991,32.2937588479342
1.000133499381505e-05,3.7167669538776884e-05,7.94610838273038
3.292432982712506e-05,9.491633131253194e-05,9.88062172184138
3.253075468260613e-06,2.310815605187679e-05,0.08660287074091784
0.00039211771686123496,4.671053592555101e-05,12.620154597901575
1.563163859426489e-05,3.5046065439703674e-05,5.294445005549917
3.740936146803252e-05,7.584040616612613e-05,18.401980353134817
2.4269252755573762e-05,7.659416759073365e-05,9.433559287158504
