longitudeSD,latitudeSD,altitudeSD
4.133289444278538e-06,3.191378685294491e-06,0.0
4.9518301893792445e-06,2.6198388390388304e-06,0.0
0.0,0.0,0.0
1.125000000001819e-05,7.85000001002345e-06,0.0
5.091168823747486e-06,3.299831851575905e-07,0.0
4.4171559477929386e-05,1.4133866166186433e-05,0.04157333659570148
4.582518412146954e-06,1.9360642425999802e-05,0.060000228881835926
1.860616677724316e-05,2.5874608643835543e-05,0.08331972458205662
1.151311751862088e-05,1.7647574194121245e-05,0.08291607983267436
0.0,0.0,0.0
6.356539939411632e-06,1.5331995971065487e-05,0.14696901080451424
1.4518810129466097e-06,3.53544582049731e-06,0.0
3.967098412878059e-06,2.9238662888033245e-06,0.0
2.9429001269321602e-06,3.724633219847934e-06,0.0
0.00012597933252007785,3.844399516755849e-05,0.049999237060546875
3.9118441942036495e-05,4.155469288106428e-05,0.03307138675129279
6.668754568904315e-05,3.41180893975152e-05,0.04330060946427398
5.4046476912787335e-05,2.284492862788778e-05,0.049999237060546875
0.0,0.0,0.0
6.696792250524304e-05,3.087995152269068e-05,0.0
4.5200402528938915e-06,3.3326249282290363e-06,0.0
9.260676039612095e-05,4.6675268720390215e-05,0.042131861532476646
4.8312133201926066e-05,2.797201889446281e-05,0.03221848234836449
3.9203174474921765e-05,2.146314677035735e-06,0.09428126381131029
4.0113668493595806e-05,5.731806006484477e-06,0.04898904733071764
1.0306739972813224e-05,1.0202287335813827e-05,0.0
9.618520400489971e-05,4.96880103015471e-05,0.0728432000360997
4.3213254085923045e-05,7.892522324462363e-05,10.58895720827012
0.00012319867134895197,5.197142633755172e-05,0.0799995422383478
