longitudeSD,latitudeSD,altitudeSD
3.4378697782150395e-05,0.00011712739351575982,15.509656843269106
6.192622338766746e-06,7.77869934123027e-06,0.0
1.1957110855448775e-05,8.010461910661687e-06,0.14999961853027344
1.0779030565665839e-06,3.2733774486685434e-06,0.0
3.3667867561168536e-05,7.481951074484021e-06,0.0
2.615543681550348e-05,2.357249124295912e-05,0.0
5.827344506732628e-05,4.123590661731063e-06,0.280000850133488
0.000683059176722307,0.00025130030785147514,9.159814238199166
2.008193094949393e-06,9.738139343129741e-06,0.0
6.742729417786116e-06,8.86172103986842e-06,0.0
0.0021142524057679874,0.0021509092765623758,13.906266828810113
0.0022989604736628473,0.0029664599063570192,21.347373690106284
0.0041485596524889375,0.003916270360221879,18.661570316885616
0.004598472835397036,0.0058617177093691,20.9876140750318
0.005490917809948415,0.002640798517023365,17.380679771300468
