longitudeSD,latitudeSD,altitudeSD
0.0004506907637375754,0.00044929209218703124,28.232489879415905
9.55462002830186e-06,5.077147881319887e-06,0.0
9.249999999738634e-06,1.9999999949504854e-06,0.0
9.992149236346046e-05,0.0002056678845914259,2.442382363911697
0.0,0.0,0.0
1.7002785846084357e-05,5.51317087337512e-06,0.016659608347371103
9.753585523084356e-06,4.318267078141776e-06,0.0
1.648852568596972e-05,8.34972273343655e-06,0.23076923076923078
3.1368774281211573e-06,3.521457545130605e-06,0.0
2.3621025375557487e-05,0.00015257783983273126,59.454494503550286
3.177763656386518e-05,0.00011150444011099376,4.514568632849859
4.3801417859629984e-05,7.414177058035123e-05,6.839640150535245
1.415197512757045e-06,1.878152287048505e-06,0.027128905971930812
2.4971936909144565e-06,6.712260269849701e-06,0.0498510908473275
0.010270933451609322,0.0013903858323925538,17.058562408855863
0.022547531083437242,0.0064004177595535575,12.629076571359315
0.0008843978599725743,0.0018354945529538587,6.080686696675132
