Date,longitudeSD,latitudeSD,altitudeSD
2022-08-07,0.0009859086766658785,0.0011897678401931726,11.760516154116335
2022-08-09,0.0003462944484322788,0.00016250237093829215,22.41243618810424
2022-08-10,0.010381918631169534,0.0021125734232180456,17.606079805130506
2022-08-11,0.012973282532521722,0.006482495341707506,18.11315533620167
2022-08-12,0.00013496512922751283,7.001843456800428e-05,24.844627310589264
2022-08-14,0.02118128811349443,0.006128614072463937,24.99070614810729
2022-08-15,7.97947953057794e-05,7.890074845105377e-05,19.72767708600835
2022-08-16,9.739994153869283e-05,6.753395248107598e-05,16.82746247783307
2022-08-17,0.018607092550409716,0.006596131593426644,26.10966530351792
2022-08-18,7.741848508722181e-05,8.797616287960921e-05,19.88223774641608
