Date,longitudeSD,latitudeSD,altitudeSD
2022-08-24,0.00016186455180861397,7.514037331097098e-05,18.890829918413818
2022-08-25,0.015053612250287864,0.0036635895669829147,22.330900485403504
2022-08-26,0.017625731712636223,0.005065942292720662,17.592980796745824
2022-08-27,0.016548564154133708,0.0034954072501293602,26.97702819682127
2022-08-28,0.0031990739464277163,0.00431732004290571,17.064898964947503
2022-08-29,0.00021484480967753984,0.0001237197784790308,24.311809688961812
2022-08-30,0.0004041331876657422,0.00018617157991022791,25.744181447181283
2022-08-31,0.0002448497552616267,0.0001572194141514922,42.265722498333346
2022-09-01,0.000290435654660208,0.00015071237678178438,23.652303544877462
2022-09-02,0.00023021868593009828,9.28907508323612e-05,28.179332522746833
2022-09-03,0.00017799808003667034,0.0001273506726981536,35.36520676681849
2022-09-04,0.0002961921672293193,0.00015333491882475164,42.49175586664422
2022-09-05,0.00020247010201401416,0.00010472736300331414,21.087110335084244
2022-09-06,0.00016751898937604536,8.880732526929355e-05,20.85431767029579
