Date,longitudeSD,latitudeSD,altitudeSD
2022-08-26,2.7982864865394493e-06,4.914058493487453e-06,28.702750217478954
2022-08-28,0.1947810201832973,0.3106159116637289,10.276399819139122
2022-08-30,0.004078873129244072,0.006972788147133091,29.270560828062045
2022-08-31,0.006104379442620802,0.008922309329681907,11.735057720013517
2022-09-01,0.011341489570991408,0.03511591250918803,15.483822846491755
2022-09-03,0.004632716376943153,0.006219371530077924,11.113511658574152
2022-09-04,0.0002928049416424765,0.0001590537861892057,17.410417383059958
2022-09-05,8.879658984847881e-05,8.199502924030785e-05,25.899874818359166
2022-09-08,0.3265025228485907,0.4307696382605904,10.497692080564368
2022-09-10,5.745596139815655e-06,4.924682719589265e-06,2.1217612481844528
2022-09-11,3.249288578430785e-05,3.418858924995672e-05,21.213787262625655
2022-09-12,0.0,0.0,0.0
2022-09-13,9.999999939225292e-08,3.0000001771668405e-07,2.4499988555908203
2022-09-14,0.022720376126756234,0.009074881829396987,13.651276421827276
2022-09-15,0.008745151796444202,0.009310543746175568,7.807380128689447
2022-09-19,7.102381914409556e-05,4.0621634681512976e-05,3.7055039560764773
2022-09-20,6.735465559388812e-05,0.003145829539192594,12.632214539783597
