Date,longitudeSD,latitudeSD,altitudeSD
2022-08-07,7.157622347790896e-05,9.402559635952976e-05,22.872264493720056
2022-08-08,0.006544337188881346,0.031333515557701724,26.48912232034121
2022-08-09,0.00020287999761518138,0.00022873850013825352,30.839372399096952
2022-08-10,0.006844639621080263,0.03275932314951147,26.83466244794534
2022-09-15,0.0011116456983125472,0.0011153814076690998,20.63400506898891
2022-09-16,0.0009583297266970731,0.0014803336829255008,21.47897131565587
2022-09-17,0.009088827161348843,0.02034067532745431,20.598693329685226
2022-09-18,0.005771050151376155,0.02812078302975831,27.12948365679445
2022-09-19,0.005770460106956333,0.02657269895473633,21.158445713230346
2022-09-20,0.00010353674220378794,8.943952102551e-05,18.95656269301933
