longitudeSD,latitudeSD,altitudeSD
0.0,0.0,0.0
2.752372713860456e-06,7.915806988568117e-06,0.0
1.739999999905706e-05,2.8500000013309545e-06,0.0
7.649999998804446e-06,5.949999994925292e-06,0.0
6.884443010065083e-06,3.940565387353922e-06,0.0
8.452350102012952e-06,2.0215505693378603e-06,0.2160249253962259
3.2952036883614934e-06,2.193822497465751e-06,0.0
1.2287021544555444e-05,0.0003041102081650804,6.968791328626231
8.14580154642939e-06,1.0672854460427994e-05,0.046153141902039986
3.7282703764727715e-06,8.238695276181987e-06,0.04999923706054332
1.6294170733708757e-06,4.233792623201858e-06,0.21650635094610965
9.634811881484279e-06,1.067925089657185e-05,0.048989047330714165
4.609909326835264e-06,1.0856832691286102e-05,0.09797940283276313
8.929786881538283e-06,1.1605918469853644e-05,0.14086815052071008
4.3922008800267695e-06,1.5414649799637345e-05,0.04517470582343402
5.365495472751272e-06,1.4338669049631903e-05,0.0433006094642709
6.675267784943529e-05,6.26255716355441e-05,0.04713973277289193
7.77138340365156e-06,1.5883702334617415e-05,0.048989047330714165
